"filename", "language", "JavaScript", "Vue", "CSS", "comment", "blank", "total"
"f:\cli\src\App.vue", "Vue", 0, 15, 0, 0, 1, 16
"f:\cli\src\api\getData.js", "JavaScript", 35, 0, 0, 122, 41, 198
"f:\cli\src\assets\global.css", "CSS", 0, 0, 8, 0, 0, 8
"f:\cli\src\assets\login.css", "CSS", 0, 0, 207, 3, 28, 238
"f:\cli\src\components\Home.vue", "Vue", 0, 98, 0, 6, 6, 110
"f:\cli\src\components\Login.vue", "Vue", 0, 118, 0, 4, 10, 132
"f:\cli\src\components\TicketInquiry.vue", "Vue", 0, 388, 0, 10, 15, 413
"f:\cli\src\components\login\sign_in.vue", "Vue", 0, 36, 0, 7, 4, 47
"f:\cli\src\components\login\sign_up.vue", "Vue", 0, 36, 0, 5, 4, 45
"f:\cli\src\components\page1.vue", "Vue", 0, 3, 0, 1, 0, 4
"f:\cli\src\components\page2.vue", "Vue", 0, 3, 0, 1, 0, 4
"f:\cli\src\components\page3.vue", "Vue", 0, 3, 0, 1, 0, 4
"f:\cli\src\config\env.js", "JavaScript", 15, 0, 0, 8, 3, 26
"f:\cli\src\config\fetch.js", "JavaScript", 66, 0, 0, 0, 10, 76
"f:\cli\src\config\mUtils.js", "JavaScript", 208, 0, 0, 41, 28, 277
"f:\cli\src\config\store_cookie.js", "JavaScript", 18, 0, 0, 5, 1, 24
"f:\cli\src\hooks\useEmitter.js", "JavaScript", 9, 0, 0, 0, 3, 12
"f:\cli\src\main.js", "JavaScript", 20, 0, 0, 0, 4, 24
"f:\cli\src\router\index.js", "JavaScript", 58, 0, 0, 2, 7, 67
"f:\cli\src\store\index.js", "JavaScript", 13, 0, 0, 0, 2, 15
"Total", "-", 442, 700, 215, 216, 167, 1740
